"Federal Provider Number","Provider State","Percent Vaccinated Residents","Percent Vaccinated Healthcare Personnel","Date vaccination data last updated"
"015009","AL","94.0","69.8","12/12/2021"
"015010","AL","94.7","54.7","12/12/2021"
"015012","AL","100.0","83.1","12/12/2021"
"015014","AL","97.3","92.8","12/12/2021"
"015015","AL","91.1","75.3","12/12/2021"
"015016","AL","75.0","80.4","12/12/2021"
"015019","AL","85.1","97.3","12/12/2021"
"015023","AL","100.0","78.0","12/12/2021"
"015024","AL","92.3","78.4","12/12/2021"
"015027","AL","78.9","68.6","12/12/2021"
"015028","AL","75.8","96.9","12/12/2021"
"015031","AL","87.3","81.8","12/12/2021"
"015032","AL","74.3","63.5","12/12/2021"
"015034","AL","85.1","84.4","12/12/2021"
"015035","AL","87.5","66.0","12/12/2021"
"015037","AL","82.6","56.8","12/12/2021"
"015040","AL","78.6","55.4","12/12/2021"
"015042","AL","80.0","77.3","12/12/2021"
"015044","AL","100.0","61.3","12/12/2021"
"015045","AL","95.7","86.0","12/12/2021"
"015047","AL","88.8","79.4","12/12/2021"
"015048","AL","90.9","80.2","12/12/2021"
"015049","AL","81.7","80.1","12/12/2021"
"015050","AL","87.9","76.7","12/12/2021"
"015053","AL","95.2","70.7","12/12/2021"
"015060","AL","100.0","63.3","12/12/2021"
"015063","AL","94.9","76.1","12/12/2021"
"015065","AL","75.0","64.1","12/12/2021"
"015066","AL","76.5","77.5","12/12/2021"
"015067","AL","81.8","92.9","12/12/2021"
"015071","AL","91.4","73.3","12/12/2021"
"015073","AL","98.4","99.2","12/12/2021"
"015075","AL","91.2","72.1","12/12/2021"
"015076","AL","83.8","68.5","12/12/2021"
"015083","AL","79.8","89.9","12/12/2021"
"015084","AL","72.7","52.2","12/12/2021"
"015089","AL","93.0","84.6","12/12/2021"
"015091","AL","88.8","66.1","12/12/2021"
"015097","AL","83.1","88.8","12/12/2021"
"015098","AL","93.8","69.3","12/12/2021"
"015100","AL","92.2","74.0","12/12/2021"
"015101","AL","91.3","73.8","12/12/2021"
"015103","AL","68.9","54.7","12/12/2021"
"015104","AL","98.1","91.1","12/12/2021"
"015109","AL","97.7","87.2","12/12/2021"
"015111","AL","76.9","76.4","12/12/2021"
"015112","AL","Not Available","Not Available","12/12/2021"
"015113","AL","82.2","98.9","12/12/2021"
"015114","AL","95.9","89.9","12/12/2021"
"015115","AL","86.7","69.7","12/12/2021"
"015116","AL","77.0","75.2","12/12/2021"
"015117","AL","75.0","87.2","12/12/2021"
"015119","AL","63.8","61.5","12/12/2021"
"015120","AL","84.3","67.6","12/12/2021"
"015121","AL","97.1","63.6","12/12/2021"
"015123","AL","96.0","74.4","12/12/2021"
"015124","AL","89.6","82.0","12/12/2021"
"015126","AL","83.8","64.6","12/12/2021"
"015127","AL","75.2","44.9","12/12/2021"
"015128","AL","86.6","49.0","12/12/2021"
"015129","AL","78.9","60.7","12/12/2021"
"015132","AL","82.2","74.5","12/12/2021"
"015133","AL","82.4","98.2","12/12/2021"
"015134","AL","83.9","100.0","12/12/2021"
"015135","AL","100.0","70.1","12/12/2021"
"015136","AL","92.2","75.5","12/12/2021"
"015137","AL","85.0","66.7","12/12/2021"
"015138","AL","Not Available","Not Available","12/12/2021"
"015139","AL","63.3","75.8","12/12/2021"
"015141","AL","88.9","66.2","12/12/2021"
"015142","AL","81.1","79.1","12/12/2021"
"015143","AL","59.2","52.5","12/12/2021"
"015144","AL","74.2","64.7","12/12/2021"
"015145","AL","Not Available","Not Available","12/12/2021"
"015147","AL","80.4","98.5","12/12/2021"
"015148","AL","91.3","55.8","12/12/2021"
"015149","AL","88.5","75.0","12/12/2021"
"015150","AL","84.3","49.2","12/12/2021"
"015151","AL","70.8","75.7","12/12/2021"
"015152","AL","91.3","69.1","12/12/2021"
"015153","AL","71.0","72.5","12/12/2021"
"015154","AL","96.6","55.1","12/12/2021"
"015155","AL","83.6","59.7","12/12/2021"
"015156","AL","95.6","75.9","12/12/2021"
"015157","AL","78.3","87.1","12/12/2021"
"015158","AL","Not Available","Not Available","12/12/2021"
"015159","AL","90.3","70.2","12/12/2021"
"015160","AL","73.5","69.6","12/12/2021"
"015162","AL","88.9","67.1","12/12/2021"
"015163","AL","81.4","63.6","12/12/2021"
"015164","AL","76.3","78.0","12/12/2021"
"015166","AL","93.5","73.6","12/12/2021"
"015167","AL","86.4","55.2","12/12/2021"
"015168","AL","96.2","88.8","12/12/2021"
"015169","AL","63.0","73.3","12/12/2021"
"015171","AL","93.4","83.6","12/12/2021"
"015174","AL","77.5","46.0","12/12/2021"
"015175","AL","88.1","76.5","12/12/2021"
"015176","AL","81.8","78.1","12/12/2021"
"015177","AL","95.4","86.3","12/12/2021"
"015178","AL","92.1","70.1","12/12/2021"
"015179","AL","92.8","88.9","12/12/2021"
"015180","AL","90.1","67.1","12/12/2021"
"015182","AL","81.6","64.1","12/12/2021"
"015183","AL","72.9","58.6","12/12/2021"
"015184","AL","80.0","54.8","12/12/2021"
"015186","AL","74.5","78.1","12/12/2021"
"015187","AL","87.1","84.3","12/12/2021"
"015188","AL","91.0","73.7","12/12/2021"
"015189","AL","55.4","76.3","12/12/2021"
"015191","AL","90.2","86.7","12/12/2021"
"015192","AL","99.2","90.3","12/12/2021"
"015193","AL","88.5","72.3","12/12/2021"
"015194","AL","83.9","95.3","12/12/2021"
"015195","AL","77.8","59.2","12/12/2021"
"015196","AL","87.3","53.3","12/12/2021"
"015197","AL","80.7","86.2","12/12/2021"
"015199","AL","88.4","75.5","12/12/2021"
"015200","AL","76.4","97.8","12/12/2021"
"015201","AL","90.4","64.2","12/12/2021"
"015202","AL","80.5","58.7","12/12/2021"
"015203","AL","89.5","51.2","12/12/2021"
"015204","AL","90.4","87.1","12/12/2021"
"015206","AL","88.4","85.2","12/12/2021"
"015207","AL","81.1","65.7","12/12/2021"
"015208","AL","80.9","62.6","12/12/2021"
"015209","AL","76.7","67.9","12/12/2021"
"015210","AL","80.3","72.2","12/12/2021"
"015211","AL","70.4","80.9","12/12/2021"
"015212","AL","89.9","79.1","12/12/2021"
"015213","AL","95.7","81.9","12/12/2021"
"015214","AL","93.2","80.2","12/12/2021"
"015215","AL","96.6","76.4","12/12/2021"
"015216","AL","88.6","44.9","12/12/2021"
"015217","AL","84.2","87.2","12/12/2021"
"015220","AL","73.1","77.0","12/12/2021"
"015221","AL","93.2","58.6","12/12/2021"
"015222","AL","94.9","88.6","12/12/2021"
"015223","AL","69.3","61.9","12/12/2021"
"015225","AL","83.5","73.0","12/12/2021"
"015227","AL","88.7","58.7","12/12/2021"
"015228","AL","74.8","81.0","12/12/2021"
"015303","AL","92.1","67.8","12/12/2021"
