"provnum","provname","address","city","state","zip","pnlty_date","pnlty_type","fine_amt","payden_strt_dt","payden_days","filedate"
"015019","MERRY WOOD LODGE CARE AND REHABILITATION CENTER","P O BOX 130","ELMORE","AL","36025","2014-10-02","Fine","6692",,,"2015-12-01"
"015037","WOODLEY MANOR HEALTH & REHABILITATION","3312 WOODLEY ROAD","MONTGOMERY","AL","36116","2015-05-21","Fine","13813",,,"2015-12-01"
"015053","CLEBURNE COUNTY NURSING HOME","122 BROCKFORD ROAD","HEFLIN","AL","36264","2014-05-16","Fine","142870",,,"2015-12-01"
"015053","CLEBURNE COUNTY NURSING HOME","122 BROCKFORD ROAD","HEFLIN","AL","36264","2014-05-16","Payment Denial",,"2014-07-10","5","2015-12-01"
"015060","TERRACE OAKS CARE & REHABILITATION CENTER","4201 BESSEMER SUPER HIGHWAY","BESSEMER","AL","35020","2015-04-16","Fine","58273",,,"2015-12-01"
"015060","TERRACE OAKS CARE & REHABILITATION CENTER","4201 BESSEMER SUPER HIGHWAY","BESSEMER","AL","35020","2014-01-16","Fine","6338",,,"2015-12-01"
"015076","FAIR HAVEN RETIREMENT CENTER","1424 MONTCLAIR ROAD","BIRMINGHAM","AL","35210","2013-03-21","Fine","1755",,,"2015-12-01"
"015083","ELBA NURSING AND REHABILITATION CENTER, LLC","987 DRAYTON STREET","ELBA","AL","36323","2015-02-22","Fine","134900",,,"2015-12-01"
"015091","NORTH HILL NURSING AND REHABILITATION CTR, LLC","200 NORTH PINE HILL ROAD","BIRMINGHAM","AL","35217","2013-10-11","Fine","14625",,,"2015-12-01"
"015091","NORTH HILL NURSING AND REHABILITATION CTR, LLC","200 NORTH PINE HILL ROAD","BIRMINGHAM","AL","35217","2013-10-11","Payment Denial",,"2014-01-11","58","2015-12-01"
"015091","NORTH HILL NURSING AND REHABILITATION CTR, LLC","200 NORTH PINE HILL ROAD","BIRMINGHAM","AL","35217","2013-02-28","Fine","6240",,,"2015-12-01"
"015097","SOUTH HEALTH AND REHABILITATION, LLC","1220 SOUTH 17TH STREET","BIRMINGHAM","AL","35205","2013-02-14","Fine","11570",,,"2015-12-01"
"015103","ASHLAND PLACE HEALTH AND REHABILITATION, LLC","148 TUSCALOOSA ST","MOBILE","AL","36607","2013-07-02","Fine","1170",,,"2015-12-01"
"015113","RIVER CITY CENTER","1350 FOURTEENTH AVENUE SOUTHEAST","DECATUR","AL","35601","2013-09-12","Fine","6045",,,"2015-12-01"
