"Federal Provider Number","Provider Name","Provider Address","Provider City","Provider State","Provider Zip Code","Penalty Date","Penalty Type","Fine Amount","Payment Denial Start Date","Payment Denial Length in Days","Location","Processing Date"
"015015","PLANTATION MANOR NURSING HOME","6450 OLD TUSCALOOSA HIGHWAY   P O BOX 97","MC CALLA","AL","35111","2018-04-19","Fine","22903",,,"6450 OLD TUSCALOOSA HIGHWAY   P O BOX 97,MC CALLA,AL,35111","2020-11-01"
"015015","PLANTATION MANOR NURSING HOME","6450 OLD TUSCALOOSA HIGHWAY   P O BOX 97","MC CALLA","AL","35111","2019-05-02","Fine","6708",,,"6450 OLD TUSCALOOSA HIGHWAY   P O BOX 97,MC CALLA,AL,35111","2020-11-01"
"015019","MERRY WOOD LODGE","P O BOX 130","ELMORE","AL","36025","2019-03-02","Fine","78677",,,"P O BOX 130,ELMORE,AL,36025","2020-11-01"
"015028","KELLER LANDING","813 KELLER LANE","TUSCUMBIA","AL","35674","2018-09-13","Fine","6500",,,"813 KELLER LANE,TUSCUMBIA,AL,35674","2020-11-01"
"015031","MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION","805 FLAGG CIRCLE","FLORENCE","AL","35631","2017-11-17","Fine","31639",,,"805 FLAGG CIRCLE,FLORENCE,AL,35631","2020-11-01"
"015032","DIVERSICARE OF FOLEY","1701 NORTH ALSTON STREET","FOLEY","AL","36535","2018-08-04","Fine","395836",,,"1701 NORTH ALSTON STREET,FOLEY,AL,36535","2020-11-01"
"015037","CRIMSON HEALTH AND REHAB, LLC","3312 WOODLEY ROAD","MONTGOMERY","AL","36116","2018-10-11","Fine","4194",,,"3312 WOODLEY ROAD,MONTGOMERY,AL,36116","2020-11-01"
"015040","DIVERSICARE OF MONTGOMERY","2020 NORTH COUNTRY CLUB DRIVE","MONTGOMERY","AL","36106","2019-12-05","Fine","10383",,,"2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106","2020-11-01"
"015044","CAREGIVERS OF PLEASANT GROVE, INC","700 FIRST AVENUE","PLEASANT GROVE","AL","35127","2019-05-19","Fine","20771",,,"700 FIRST AVENUE,PLEASANT GROVE,AL,35127","2020-11-01"
"015109","CIVIC CENTER HEALTH AND REHABILITATION, LLC","1201 22ND STREET NORTH","BIRMINGHAM","AL","35234","2019-03-01","Fine","3318",,,"1201 22ND STREET NORTH,BIRMINGHAM,AL,35234","2020-11-01"
"015113","RIVER CITY CENTER","1350 FOURTEENTH AVENUE SOUTHEAST","DECATUR","AL","35601","2018-07-17","Fine","26481",,,"1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601","2020-11-01"
"015113","RIVER CITY CENTER","1350 FOURTEENTH AVENUE SOUTHEAST","DECATUR","AL","35601","2019-03-13","Fine","12896",,,"1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601","2020-11-01"
"015133","MAGNOLIA RIDGE","420 DEAN DRIVE","GARDENDALE","AL","35071","2018-02-01","Fine","9168",,,"420 DEAN DRIVE,GARDENDALE,AL,35071","2020-11-01"
"015144","AHAVA HEALTHCARE OF ALABASTER","850 9TH STREET, NORTHWEST","ALABASTER","AL","35007","2018-09-27","Fine","13305",,,"850 9TH STREET, NORTHWEST,ALABASTER,AL,35007","2020-11-01"
"015144","AHAVA HEALTHCARE OF ALABASTER","850 9TH STREET, NORTHWEST","ALABASTER","AL","35007","2018-09-27","Fine","59322",,,"850 9TH STREET, NORTHWEST,ALABASTER,AL,35007","2020-11-01"
"015144","AHAVA HEALTHCARE OF ALABASTER","850 9TH STREET, NORTHWEST","ALABASTER","AL","35007","2018-09-27","Payment Denial",,"2018-11-01","137","850 9TH STREET, NORTHWEST,ALABASTER,AL,35007","2020-11-01"
"015144","AHAVA HEALTHCARE OF ALABASTER","850 9TH STREET, NORTHWEST","ALABASTER","AL","35007","2020-02-01","Fine","177769",,,"850 9TH STREET, NORTHWEST,ALABASTER,AL,35007","2020-11-01"
"015156","CROWNE HEALTH CARE OF FT PAYNE","403 13TH STREET NORTHWEST","FORT PAYNE","AL","35967","2019-11-14","Fine","6636",,,"403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967","2020-11-01"
"015175","WESLEY PLACE ON HONEYSUCKLE","718 HONEYSUCKLE ROAD","DOTHAN","AL","36305","2018-07-07","Fine","8128",,,"718 HONEYSUCKLE ROAD,DOTHAN,AL,36305","2020-11-01"
"015183","NORTH MOBILE NURSING AND REHABILITATION CTR","4525 ST STEPHENS ROAD","EIGHT MILE","AL","36613","2017-11-03","Fine","112106",,,"4525 ST STEPHENS ROAD,EIGHT MILE,AL,36613","2020-11-01"
"015195","VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY","415 COOK SPRINGS","PELL CITY","AL","35125","2019-01-03","Fine","13905",,,"415 COOK SPRINGS,PELL CITY,AL,35125","2020-11-01"
"015195","VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY","415 COOK SPRINGS","PELL CITY","AL","35125","2019-07-28","Fine","454039",,,"415 COOK SPRINGS,PELL CITY,AL,35125","2020-11-01"
"015195","VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY","415 COOK SPRINGS","PELL CITY","AL","35125","2019-07-28","Payment Denial",,"2019-09-11","10","415 COOK SPRINGS,PELL CITY,AL,35125","2020-11-01"
"015203","ATTALLA HEALTH AND REHAB","915 STEWART AVENUE SOUTHEAST","ATTALLA","AL","35954","2018-08-03","Fine","35030",,,"915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954","2020-11-01"
"015203","ATTALLA HEALTH AND REHAB","915 STEWART AVENUE SOUTHEAST","ATTALLA","AL","35954","2018-08-03","Payment Denial",,"2018-11-13","1","915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954","2020-11-01"
"015203","ATTALLA HEALTH AND REHAB","915 STEWART AVENUE SOUTHEAST","ATTALLA","AL","35954","2019-05-05","Fine","114100",,,"915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954","2020-11-01"
"015203","ATTALLA HEALTH AND REHAB","915 STEWART AVENUE SOUTHEAST","ATTALLA","AL","35954","2019-05-05","Payment Denial",,"2019-06-06","1","915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954","2020-11-01"
"015211","TWIN OAKS REHABILITATION AND HEALTHCARE CENTER","857 CRAWFORD LANE","MOBILE","AL","36617","2019-11-02","Fine","8561",,,"857 CRAWFORD LANE,MOBILE,AL,36617","2020-11-01"
"015217","BIRMINGHAM NURSING AND REHABILITATION CTR LLC","1000 DUGAN AVENUE","BIRMINGHAM","AL","35214","2017-11-02","Fine","11703",,,"1000 DUGAN AVENUE,BIRMINGHAM,AL,35214","2020-11-01"
"015217","BIRMINGHAM NURSING AND REHABILITATION CTR LLC","1000 DUGAN AVENUE","BIRMINGHAM","AL","35214","2019-06-22","Fine","164821",,,"1000 DUGAN AVENUE,BIRMINGHAM,AL,35214","2020-11-01"
"015227","GENERATIONS OF VERNON, LLC","1050 CONVALESCENT ROAD","VERNON","AL","35592","2019-08-04","Fine","35477",,,"1050 CONVALESCENT ROAD,VERNON,AL,35592","2020-11-01"
"015227","GENERATIONS OF VERNON, LLC","1050 CONVALESCENT ROAD","VERNON","AL","35592","2019-08-04","Payment Denial",,"2019-09-10","3","1050 CONVALESCENT ROAD,VERNON,AL,35592","2020-11-01"
"015228","MONTGOMERY HEALTH AND REHAB, LLC","4490 VIRGINIA LOOP ROAD","MONTGOMERY","AL","36116","2019-08-23","Fine","14334",,,"4490 VIRGINIA LOOP ROAD,MONTGOMERY,AL,36116","2020-11-01"
"015372","REGENCY HEALTH CARE AND REHABILITATION CENTER","2061 POOLE DRIVE, NW","HUNTSVILLE","AL","35810","2018-08-23","Fine","3250",,,"2061 POOLE DRIVE, NW,HUNTSVILLE,AL,35810","2020-11-01"
"015404","BARON HOUSE OF HUEYTOWN","190 BROOKLANE DRIVE","HUEYTOWN","AL","35023","2018-02-01","Fine","6113",,,"190 BROOKLANE DRIVE,HUEYTOWN,AL,35023","2020-11-01"
"015404","BARON HOUSE OF HUEYTOWN","190 BROOKLANE DRIVE","HUEYTOWN","AL","35023","2018-02-01","Fine","3731",,,"190 BROOKLANE DRIVE,HUEYTOWN,AL,35023","2020-11-01"
"015404","BARON HOUSE OF HUEYTOWN","190 BROOKLANE DRIVE","HUEYTOWN","AL","35023","2018-02-01","Payment Denial",,"2018-04-05","35","190 BROOKLANE DRIVE,HUEYTOWN,AL,35023","2020-11-01"
"015413","LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER","2911 EARL GOODWIN PARKWAY","SELMA","AL","36703","2020-01-24","Fine","41337",,,"2911 EARL GOODWIN PARKWAY,SELMA,AL,36703","2020-11-01"
"015414","LAFAYETTE NURSING HOME","555 B STREET SW","LAFAYETTE","AL","36862","2019-01-23","Fine","13905",,,"555 B STREET SW,LAFAYETTE,AL,36862","2020-11-01"
"015426","CROWNE HEALTH CARE OF SPRINGHILL","3712 DAUPHIN ST","MOBILE","AL","36608","2018-03-08","Fine","13627",,,"3712 DAUPHIN ST,MOBILE,AL,36608","2020-11-01"
"015433","ST MARTIN'S IN THE PINES","4941 MONTEVALLO ROAD","BIRMINGHAM","AL","35210","2019-02-12","Fine","13905",,,"4941 MONTEVALLO ROAD,BIRMINGHAM,AL,35210","2020-11-01"
"015440","HUNTSVILLE HEALTH & REHABILITATION, LLC","4010 CHRIS DRIVE","HUNTSVILLE","AL","35802","2018-09-12","Fine","20237",,,"4010 CHRIS DRIVE,HUNTSVILLE,AL,35802","2020-11-01"
"015442","ORCHARD REHABILITATION & HEALTHCARE CENTER","629 STATE HIGHWAY 21 SOUTH","HAYNEVILLE","AL","36040","2018-03-16","Fine","13627",,,"629 STATE HIGHWAY 21 SOUTH,HAYNEVILLE,AL,36040","2020-11-01"
"015443","ROBERTSDALE REHABILITATION & HEALTHCARE CTR","18700 U S HIGHWAY 90","ROBERTSDALE","AL","36567","2018-08-23","Fine","147630",,,"18700 U S HIGHWAY 90,ROBERTSDALE,AL,36567","2020-11-01"
"015452","OAK PARK","1365 GATEWOOD DRIVE","AUBURN","AL","36830","2018-06-30","Payment Denial",,"2018-08-02","2","1365 GATEWOOD DRIVE,AUBURN,AL,36830","2020-11-01"
"015459","GALLERIA WOODS SKILLED NURSING FACILITY","3850 GALLERIA WOODS DRIVE","BIRMINGHAM","AL","35244","2018-02-02","Fine","90230",,,"3850 GALLERIA WOODS DRIVE,BIRMINGHAM,AL,35244","2020-11-01"
"015467","TRUSSVILLE HEALTH & REHABILITATION CENTER","119 WATTERSON PARKWAY","TRUSSVILLE","AL","35173","2019-04-11","Fine","22516",,,"119 WATTERSON PARKWAY,TRUSSVILLE,AL,35173","2020-11-01"
"025020","DENALI CENTER","1510 19TH AVENUE","FAIRBANKS","AK","99701","2019-03-08","Fine","16738",,,"1510 19TH AVENUE,FAIRBANKS,AK,99701","2020-11-01"
"025020","DENALI CENTER","1510 19TH AVENUE","FAIRBANKS","AK","99701","2019-03-08","Fine","6633",,,"1510 19TH AVENUE,FAIRBANKS,AK,99701","2020-11-01"
"025021","HERITAGE PLACE","232 ROCKWELL AVENUE","SOLDOTNA","AK","99669","2018-08-17","Fine","6633",,,"232 ROCKWELL AVENUE,SOLDOTNA,AK,99669","2020-11-01"
"025024","PROVIDENCE SEWARD MED & CARE CENTER LTC","2203 OAK STREET (P.O. BOX 430)","SEWARD","AK","99664","2018-10-09","Fine","34795",,,"2203 OAK STREET (P.O. BOX 430),SEWARD,AK,99664","2020-11-01"
"025026","QUYANNA CARE CENTER","1100 GREG KRUSCHEK AVENUE (P.O. BOX 966)","NOME","AK","99762","2019-05-03","Fine","13905",,,"1100 GREG KRUSCHEK AVENUE (P.O. BOX 966),NOME,AK,99762","2020-11-01"
"025026","QUYANNA CARE CENTER","1100 GREG KRUSCHEK AVENUE (P.O. BOX 966)","NOME","AK","99762","2019-05-03","Fine","20420",,,"1100 GREG KRUSCHEK AVENUE (P.O. BOX 966),NOME,AK,99762","2020-11-01"
"025036","PROVIDENCE EXTENDED CARE","920 COMPASSION CIRCLE","ANCHORAGE","AK","99504","2019-06-24","Fine","37226",,,"920 COMPASSION CIRCLE,ANCHORAGE,AK,99504","2020-11-01"
"025037","YUKON KUSKOKWIM ELDER'S HOME","1100 CHIEF EDDIE HOFFMAN HWY, PO BOX 528","BETHEL","AK","99559","2018-11-09","Fine","8775",,,"1100 CHIEF EDDIE HOFFMAN HWY, PO BOX 528,BETHEL,AK,99559","2020-11-01"
"025038","MAPLE SPRINGS OF WASILLA","3265 E MERIDIAN LOOP","WASILLA","AK","99654","2019-10-01","Fine","5103",,,"3265 E MERIDIAN LOOP,WASILLA,AK,99654","2020-11-01"
"035016","HANDMAKER HOME FOR THE AGING","2221 NORTH ROSEMONT BOULEVARD","TUCSON","AZ","85712","2018-06-28","Fine","6500",,,"2221 NORTH ROSEMONT BOULEVARD,TUCSON,AZ,85712","2020-11-01"
"035059","HAVEN OF SCOTTSDALE","3293 NORTH DRINKWATER BOULEVARD","SCOTTSDALE","AZ","85251","2019-01-25","Fine","6633",,,"3293 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251","2020-11-01"
"035068","PUEBLO SPRINGS REHABILITATION CENTER","5545 EAST LEE STREET","TUCSON","AZ","85712","2018-08-23","Fine","7150",,,"5545 EAST LEE STREET,TUCSON,AZ,85712","2020-11-01"
"035072","PHOENIX MOUNTAIN POST ACUTE","13232 NORTH TATUM BLVD","PHOENIX","AZ","85032","2018-11-09","Fine","11343",,,"13232 NORTH TATUM BLVD,PHOENIX,AZ,85032","2020-11-01"
"035073","SANTA RITA NURSING & REHABILITATION CENTER","150 NORTH LA CANADA DRIVE","GREEN VALLEY","AZ","85614","2018-05-11","Fine","10000",,,"150 NORTH LA CANADA DRIVE,GREEN VALLEY,AZ,85614","2020-11-01"
"035095","DESERT COVE NURSING CENTER","1750 WEST FRYE ROAD","CHANDLER","AZ","85224","2018-01-30","Fine","9753",,,"1750 WEST FRYE ROAD,CHANDLER,AZ,85224","2020-11-01"
"035100","HAVASU NURSING CENTER","3576 KEARSAGE DRIVE","LAKE HAVASU CITY","AZ","86406","2019-02-06","Fine","8294",,,"3576 KEARSAGE DRIVE,LAKE HAVASU CITY,AZ,86406","2020-11-01"
"035105","SHEA POST ACUTE REHABILITATION CENTER","11150 NORTH 92ND STREET","SCOTTSDALE","AZ","85260","2018-10-15","Fine","8294",,,"11150 NORTH 92ND STREET,SCOTTSDALE,AZ,85260","2020-11-01"
"035110","SUN WEST CHOICE HEALTHCARE & REHAB","14002 WEST MEEKER BLVD","SUN CITY WEST","AZ","85375","2018-04-19","Fine","6500",,,"14002 WEST MEEKER BLVD,SUN CITY WEST,AZ,85375","2020-11-01"
"035111","LAKE PLEASANT POST ACUTE REHABILITATION CENTER","20625 NORTH LAKE PLEASANT ROAD","PEORIA","AZ","85382","2018-04-06","Fine","10728",,,"20625 NORTH LAKE PLEASANT ROAD,PEORIA,AZ,85382","2020-11-01"
"035117","PAYSON CARE CENTER","107 EAST LONE PINE DRIVE","PAYSON","AZ","85541","2018-07-13","Fine","99788",,,"107 EAST LONE PINE DRIVE,PAYSON,AZ,85541","2020-11-01"
"035118","HAVEN OF CAMP VERDE","86 WEST SALT MINE ROAD","CAMP VERDE","AZ","86322","2019-03-28","Fine","8957",,,"86 WEST SALT MINE ROAD,CAMP VERDE,AZ,86322","2020-11-01"
"035126","LIFE CARE CENTER OF NORTH GLENDALE","13620 NORTH 55TH AVENUE","GLENDALE","AZ","85304","2018-10-31","Fine","8294",,,"13620 NORTH 55TH AVENUE,GLENDALE,AZ,85304","2020-11-01"
"035132","CORONADO HEALTHCARE CENTER","11411 NORTH 19TH AVE","PHOENIX","AZ","85029","2018-06-01","Fine","6500",,,"11411 NORTH 19TH AVE,PHOENIX,AZ,85029","2020-11-01"
"035146","LIFE CARE CENTER OF PARADISE VALLEY","4065 EAST BELL ROAD","PHOENIX","AZ","85032","2018-03-30","Fine","6500",,,"4065 EAST BELL ROAD,PHOENIX,AZ,85032","2020-11-01"
"035146","LIFE CARE CENTER OF PARADISE VALLEY","4065 EAST BELL ROAD","PHOENIX","AZ","85032","2018-11-06","Fine","8294",,,"4065 EAST BELL ROAD,PHOENIX,AZ,85032","2020-11-01"
"035166","ESTRELLA CENTER","350 EAST LA CANADA","AVONDALE","AZ","85323","2019-08-02","Fine","31112",,,"350 EAST LA CANADA,AVONDALE,AZ,85323","2020-11-01"
"035169","DESERT HIGHLANDS CARE CENTER","1081 KATHLEEN AVE","KINGMAN","AZ","86401","2018-10-11","Fine","8294",,,"1081 KATHLEEN AVE,KINGMAN,AZ,86401","2020-11-01"
"035175","MARAVILLA CARE CENTER","8825 SOUTH 7TH STREET","PHOENIX","AZ","85042","2018-12-07","Fine","13266",,,"8825 SOUTH 7TH STREET,PHOENIX,AZ,85042","2020-11-01"
"035183","RIO VISTA POST ACUTE AND REHABILITATION","10323 WEST OLIVE AVENUE","PEORIA","AZ","85345","2018-08-30","Fine","9750",,,"10323 WEST OLIVE AVENUE,PEORIA,AZ,85345","2020-11-01"
